model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,0,0.5913830995559692,0.875,1.0,0.5250938534736633,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,1,0.4582911431789398,1.0,1.0,0.40513378381729126,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,2,0.3655337989330292,1.0,1.0,0.33831989765167236,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,3,0.32734403014183044,1.0,1.0,0.31918761134147644,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,4,0.31694820523262024,1.0,1.0,0.31502974033355713,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,5,0.3145790100097656,1.0,1.0,0.31401097774505615,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,6,0.3140287399291992,1.0,1.0,0.31370338797569275,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,7,0.3137044310569763,1.0,1.0,0.31358808279037476,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,8,0.3136880099773407,1.0,1.0,0.31354424357414246,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,9,0.3135637044906616,1.0,1.0,0.3135295808315277,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,10,0.3135497272014618,1.0,1.0,0.3135325014591217,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,11,0.31356894969940186,1.0,1.0,0.31354641914367676,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,12,0.3136456310749054,1.0,1.0,0.3135645091533661,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,13,0.3135957717895508,1.0,1.0,0.3135843873023987,100.0,0.6000000238418579,0.6929256319999695,42,1282
NN,2iris,15,0.00527192555914151,0.0007875828517008305,,,,50,0,0,14,0.31362298130989075,1.0,1.0,0.31360533833503723,100.0,0.6000000238418579,0.6929256319999695,42,1282
